QUEST_20150317_000001	Пожалуйста, выберите пользователя, требующие обновления квеста.
QUEST_20150323_001480	Третье дерево из братьев. {nl}жить полноценной жизнью с грацией богини.
QUEST_20150323_001481	Spoiled already? Here, take this.
QUEST_20150323_001482	Магический круг дрожит.
QUEST_20150323_001483	Барон Allerno
QUEST_20150323_001484	Wait, I came to see if the device is working well, but isn't my territory quiet and great to live in? There aren't that many people though. 
QUEST_20150323_001485	Интересно, когда полярники вернутся из закрытой зоной...
QUEST_20150323_001486	Это просто одна вещь, что старик хочет.
QUEST_20150323_001487	Эта машина занимает слишком много культур. Вы можете сказать его держали из-за моего престижа и морали. 
QUEST_20150323_001488	Haven't you heard the saying that not even the king can save poverty? What do they expect me to do? 
QUEST_20150323_001489	У меня есть талантливые мастера для божества. Но сейчас он занят, так что я не могу принести его сюда. 
QUEST_20150323_001490	Hmm, goddess? You mean the goddess? 
QUEST_20150323_001491	Я не удивлюсь, если арендатор фермеры знают, что это все благодаря мне, что они могут питаться и жить. 
QUEST_20150323_001492	Молодые люди в настоящее время не хватает духа в них. {nl}, когда я был в их возрасте, люди бы добровольно отправиться в те загадочные места впереди других! {nl}сейчас они ничего не сделают, если что-то предлагается взамен. Они просто не имеют страсти.
QUEST_20150323_001493	Вечная вещь... вечной красоты...
QUEST_20150323_001494	Что-то похожее на голову статуи похоронен. 
QUEST_20150323_001495	Лучше проверить этот ликер баррель.
QUEST_20150323_001496	То, что выглядит как крыло статуи похоронен. 
QUEST_20150323_001497	Фермер
QUEST_20150323_001498	Ладно, это будет только 1000 серебряных монет тогда.
QUEST_20150323_001499	Здорово! Договорились!
QUEST_20150323_001500	Тогда не. Пфф.
QUEST_20150323_001501	Ты же бомж.
QUEST_20150323_001502	Вот. Ты более жалок, чем я...
QUEST_20150323_001503	Ah, what's up? 
QUEST_20150323_001504	Земледелие в одиночку держит меня занят.
QUEST_20150323_001505	Я еще точно не знаю... насчет этого... Восстания.
QUEST_20150323_001506	Это заманчивые, но...
QUEST_20150323_001507	Do you have a written letter of Horacius? 
QUEST_20150323_001508	Не удивительно! Здесь вы идете.
QUEST_20150323_001509	Я не могу просто так отдать мой драгоценный сельскохозяйственные инструменты, чтобы кто-то так подозрительно!
QUEST_20150323_001510	Huh? Why should I trust you? 
QUEST_20150323_001511	Ты очень настойчив. Вот.
QUEST_20150323_001512	Интересно, насколько хорошо подготовка идет.
QUEST_20150323_001513	Уходи.
QUEST_20150323_001514	Can't you see I'm busy? Go away. 
QUEST_20150323_001515	So what? 
QUEST_20150323_001516	Я буду активно сотрудничать.
QUEST_20150323_001517	Наше восстание будет успешным. Мы не эксплуатировали больше.
QUEST_20150323_001518	Ah, really? Then I should give.
QUEST_20150323_001519	В эксплуатации стало слишком много в какой-то момент... нет благородства больше.
QUEST_20150323_001520	Тогда принеси нам немного серебра.
QUEST_20150323_001521	Здесь вы идете. Использовать его хорошо. Все, не унывай!
QUEST_20150323_001522	What do you want?
QUEST_20150323_001523	Кто-то еще более жалкого, чем мне...
QUEST_20150323_001524	Меня бьет. Я просто отдам его тебе.
QUEST_20150323_001525	What are they talking about? The baron's hiding something...?
QUEST_20150323_001526	Нет такого понятия, как день отдыха для фермера. 
QUEST_20150323_001527	Я занят. Вернуться позже.
QUEST_20150323_001528	Не мешай мне.
QUEST_20150323_001529	Тогда, я подпишу петицию, если Вы платите 10,000 серебра.
QUEST_20150323_001530	Я никогда не встречал никого столь щедро, как вы! Так добры! Хахаха! Возьми это!
QUEST_20150323_001531	Какой бомж без гроша в кармане. Уходи.
QUEST_20150323_001532	Вот это упорство у тебя есть. Нормально. Я действительно не доверяю тебе, но я запишу для Horacius' саке.
QUEST_20150323_001533	Ах, это вы... Хм, ходатайство Horacius... наконец-то! В день бунта приближается. Я подпишу его.
QUEST_20150323_001534	Did you put the tools to good use last time? A petition? Sure, I'll sign it. For victory!
QUEST_20150323_001535	Позвольте мне прочитать подробности петиции.
QUEST_20150323_001536	Ох, ладно. Здесь, дай мне знак.
QUEST_20150323_001537	How can I trust someone who does not trust me? 
QUEST_20150323_001538	What is it? Are you a fraud? 
QUEST_20150323_001539	Ты настойчивый... вот моя подпись.
QUEST_20150323_001540	Позже. Я сейчас занята.
QUEST_20150323_001541	Восстание или нет, жизнь сама по себе является не легким для меня... Дайте мне что-нибудь, если вы хотите говорить такие вещи. 
QUEST_20150323_001542	Ох, спасибо. Вот моя подпись. 
QUEST_20150323_001543	Как скупы. Мне придется быть скупым, а затем.
QUEST_20150323_001544	Ай-яй-яй. Ты так дешево, как я.
QUEST_20150323_001545	Вздох... Ладно. Я не могу этого сделать. Вот подписи. 
QUEST_20150323_001546	Я очень занят сейчас так что приходите попозже.
QUEST_20150323_001547	My signature for the petition? You think I'd just give it to you? No. At least pay me for it or something...
QUEST_20150323_001548	Ага, теперь мы говорим. Дай мне знак, что. Для восстания!
QUEST_20150323_001549	Если это шутка...
QUEST_20150323_001550	Какой грандиозный план может бомж придумать??
QUEST_20150323_001551	У тебя есть настойчивость. Вот моя подпись. 
QUEST_20150323_001552	Я не могу просто отдохнуть от земледелия. Я сейчас занята.
QUEST_20150323_001553	Do you have around 15,000 silver? Show some sincerity...
QUEST_20150323_001554	Ух ты, спасибо. Моя подпись-это все твое. Horacius действительно хорошую работу!
QUEST_20150323_001555	Тогда я тоже занят.
QUEST_20150323_001556	Даже если вы заняты, вы должны заботиться о себе. Ты сломал.
QUEST_20150323_001557	Я просто сделаю это для Horacius' саке. 
QUEST_20150323_001558	Вернуться позже. Я отдыхаю.
QUEST_20150323_001559	The plan of Horacius? You must be talking about that thing. I knew this day would come. I'll definitely give you my signature. 
QUEST_20150323_001560	Я просто жду день восстания.
QUEST_20150323_001561	У меня даже нет достаточно денег для моей больной семье... мне наплевать на восстание!
QUEST_20150323_001562	Ой, спасибо! Я определенно буду вступать в восстание. 
QUEST_20150323_001563	Кто-то глотая пищу, пока у меня нет даже денег, чтобы прокормить свою семью... 
QUEST_20150323_001564	Вы и я, мы оба бедные. Мы не можем думать ни о чем другом в то время как мы голодаем.
QUEST_20150323_001565	Ладно. Я подпишу его, чтобы ты прекратишь доставать меня.
QUEST_20150323_001566	У меня не закружилась голова. Вернуться позже.
QUEST_20150323_001567	Can we finally get to sleep in peace? If so, I'll gladly sign that!
QUEST_20150323_001568	Считаю, что ситуация скоро наладится.
QUEST_20150323_001569	Я только что подписал...
QUEST_20150323_001570	Хауберк Введение
QUEST_20150323_001571	Демоны похитили Vakarine и тех выгнали из демонического мира собрались здесь. {nl}это место, где матерые преступники постоянно наживаться на нас. 
QUEST_20150323_001572	Ready? Another group will be coming soon.
QUEST_20150323_001573	Demon Lord Hauberk
QUEST_20150323_001574	Вы, должно быть, много вопросов. Прошу, Открыватель...
QUEST_20150323_001575	Vakarine борется Valtrus...стенах тюрьмы демонов через портал. {nl}она не сможет удержать его надолго, если кто-то помогает.
QUEST_20150323_001576	Человек под командованием барона были здесь, хотя они не были в состоянии сделать его обратно. {nl}я смотрел все с мастера глаз. {nl}даже крики Vakarine и ее Kupoles.
QUEST_20150323_001577	Это зависит от того, является ли или не вы действительно хочет спасти богиню. {nl}мы можем взять время, чтобы поговорить об этом. 
QUEST_20150323_001578	Конечностей Nuaele все были отрезаны. {nl}а теперь найди Алдона. {nl}она примет вас и кольчугу, чтобы Nuaele территории.
QUEST_20150323_001579	Мы будем участвовать Nuaele территории сейчас. {nl}подготовить себя.
QUEST_20150323_001580	Однажды Nuaele уйдет, мы сможем бороться с демонами легко даже с только Kupoles. 
QUEST_20150323_001581	Самая большая наша проблема-помимо коррупции нарушение было Nuaele. {nl}теперь мы можем сосредоточиться на первой. {nl}сесть в тюрьму 3 район. Богиня ждет вашей поддержки.
QUEST_20150323_001582	Держите свою охрану. {nl}это может быть секрет последний ключ, но демоны до сих пор смотрят.
QUEST_20150323_001583	Вы будете вводить специальный номер после того как вы получите все пять ключей для maven. {nl}в там, вы будете проверены, чтобы увидеть, если вы имеете право на откровение.
QUEST_20150323_001584	Количество свечей-это важно. Но это секрет, вы должны запомнить порядок, свечей, а также. {nl}он похож на первый секрет.
QUEST_20150323_001585	Устройство работает.
QUEST_20150323_001586	Несколько маниакально фермеры напали на людей. 
QUEST_20150323_001587	Охранники упорно трудятся, чтобы защитить ферму. {nl}помочь им. 
QUEST_20150323_001588	Я еще раз благодарю вас во имя судьбы. {nl}здесь и далее, я буду следовать за звездами, чтобы найти богиню Ausrine.
QUEST_20150323_001589	Благодаря вам, печать Uskis пашни в настоящее время стабильная. {nl}впрочем, многих других носителей откровений потеряли сознание, чтобы злая энергия в весенний светлый лес.
QUEST_20150323_001590	Этот самый славный Великий собор был построен 660 лет назад под руководство архиепископа Сильвестро Мэйвен.
QUEST_20150323_001591	Я все еще слышу его. {nl}в священнических молитв наполнения царства. {nl}бесконечный марш паломников, приходивших за милость богини.
QUEST_20150323_001592	Так было до тех пор, пока четыре года назад. {nl}прежде чем проклятие окружили большой Собор на Medzio Диена...
QUEST_20150323_001593	Подсвечник
QUEST_20150323_001594	Нет свечи горят. 
QUEST_20150323_001595	Я похоронил Даллас. {nl}его смерть причиняет мне боль так много.
QUEST_20150323_001596	Больше монстров! Беги!
QUEST_20150323_001597	You were running so hard for me. {nl}Why don't you give me the key, kid? 
QUEST_20150323_001598	Нарушение коррупции, как только они будут открыты, будет продолжать расширяться. {nl}Богослов, пожалуйста, помогите Vakarine как можно скорее. 
QUEST_20150323_001599	Там вроде какая-то реакция на платформе доброжелательности. 
QUEST_20150323_001600	Епископ Илам
QUEST_20150323_001601	Епископ Аврелий, который был рукоположен в молодом возрасте, вскоре почувствовал себя плохо и потерял свою жизнь.
QUEST_20150323_001602	Его последняя просьба была для Божественной миссии maven для быть выполнены даже после его смерти и в церкви принято.
QUEST_20150323_001603	Природа проклятия
QUEST_20150323_001604	Чревоугодие, гнев, лень...{nl}природа всех проклятий, которые влияют{nl}человечества-одержимость.{nl}это делает духи умерших предпочитаю оставаться позади вместо того, чтобы обращаться к богине. 
QUEST_20150323_001605	Разница в том, что это воля мертвых, что хранит дух {nl}в то время как проклятия навязанным другими людьми на Вы.
QUEST_20150323_001606	Естественно, жрецы изучение учения богини не разрешается использовать его, если это для экспериментов.
QUEST_20150323_001607	Моя Миссия 1
QUEST_20150323_001608	Даже если Богослов получает откровение в его руках, {nl}это бесполезно, если он не может быть защищен.
QUEST_20150323_001609	Цель моего секрет не только для защиты откровение от зла, а также предотвратить жадность слабых носителей откровений.
QUEST_20150323_001610	Может вам бродить в вечный туман неизвестного если вы опрометчиво подход не понимая моих намерений.
QUEST_20150323_001611	Моя Миссия 2
QUEST_20150323_001612	Те, кто бросает вызов Святой миссии не просто попытаться аккуратно распутать тайну. {nl}из-за того, что мне пришлось плана много секретов и принимать меры против таких варварских действий.
QUEST_20150323_001613	Подчиняться моим секретом. {nl}, что это единственный способ заработать наследие богини.
QUEST_20150323_001614	Знак в честь окончания строительства собора
QUEST_20150323_001615	Богиня этой земли должен построить церковь. {nl}силы зла никогда не может вторгаться в это святилище. {nl} - Эст. Год 434, Сильвестро Мэйвен
QUEST_20150323_001616	Записку Кто-То Оставил Позади
QUEST_20150323_001617	Высочайший шпиль церкви также упал на Medzio Диена. {nl}скорбь и печаль марта эвакуация была неописуемая.
QUEST_20150323_001618	В день мы молились богине, что мы вернемся, все плакали слезами возмущения. {nl}наша церковь никогда не поддастся злым проклятием.
QUEST_20150323_001619	((Есть много книг осталось на полке. Ну что, читаем?)?)
QUEST_20150323_001620	Запыленную Книгу
QUEST_20150323_001621	((Есть запыленную книгу с мемо на стул. Ну что, читаем?)?)
QUEST_20150323_001622	Это было действительно опасно некоторое время назад. {nl}если вы были позже, мы бы никогда не увидели третий ключ.
QUEST_20150323_001623	Если вы используете символ духов, вы можете увидеть область, где духи будут поглощены. {nl}поражение демонам и их злой силы будут поглощены в символ.
QUEST_20150323_001624	Как только символ духовной силы заряжена, идите Veinika алтарь. {nl}Вставить символ в Veinika алтарь и вы получите третий ключ для maven.
QUEST_20150323_001625	В медицине должны работать.
QUEST_20150323_001626	Ключ на алтарь Голль. {nl}я думаю, вы должны утечка большого количества информации к Naktis' подчиненных.
QUEST_20150323_001627	Конечно, вы должны будете использовать свиток трансформации, прежде чем делать так. 
QUEST_20150323_001628	Секрет якобы раскрывает по заявлению святую силу, {nl}но ловушка будет активировать независимо, если он обнаруживает силы зла.
QUEST_20150323_001629	План, чтобы получить ключ исчерпав эту ловушку, используя Naktis' подчиненных.
QUEST_20150323_001630	Naktis' подчиненные будут наказаны за посторонних на maven секрет. {nl}используйте эту возможность, чтобы получить ключ.
QUEST_20150323_001631	Даже если богиня осуждает меня за это... я буду держать голову высоко,{nl}, потому что это было для защиты откровения.
QUEST_20150323_001632	Ты нашел последний ключ??
QUEST_20150323_001633	Это святилище является сокровищницей знаний. {nl}нужно освоить основы все, чтобы защитить королевство,{nl}и откровение во имя богини. 
QUEST_20150323_001634	Изучая демоны не исключение.
QUEST_20150323_001635	Монарх проклятий, Naktis... {nl}она не проявил себя еще, но я уверен, что она где-то внутри святилища.
QUEST_20150323_001636	Возможно, она ждет нас, чтобы получить все ключи.
QUEST_20150323_001637	Для меня большая честь быть в состоянии теперь вести вас к скрытому номер.
QUEST_20150323_001638	Акцент на цвета шаров. {nl}Вы должны вставить ключ в шары того же цвета.
QUEST_20150323_001639	Конечно невозможно отожмите вниз обе подножки в одиночку. {nl}Вы можете использовать древесину куски демонов, разбросанных вокруг... или попросить коллег о помощи. 
QUEST_20150323_001640	Так совпало, что я услышал очевидца, беженцев из этой области. {nl}он просил за безопасность своей семьи, когда я был послан сюда... {nl}но я не могу видеть любой член семьи Грин, просто беженцы и монстров. 
QUEST_20150323_001641	И я нашел этот таинственный саженец. {nl}в отличие от других, мы можем чувствовать себя таинственной силой от этих. {nl}я не могу идентифицировать эту силу подробно... {nl}но я уверен, что он может очистить зло.
QUEST_20150323_001642	Мы знали бы лучше, если бы Мастер был здесь. {nl}во всяком случае, мы должны проверить, если это сеянец на самом деле обладает силой очищать. {nl}я сделаю простой очищающий ритуал. {nl}принеси мне Ellom листья осознать степень загрязнения этого района. 
QUEST_20150323_001643	Теперь, давайте начнем. {nl}пожалуйста, посмотрите вместе. 
QUEST_20150323_001644	Но он друид, который достиг столько, сколько я. {nl}я думаю, он сможет выяснить, что секрет этот саженец.
QUEST_20150323_001645	Также, вы можете испытать что-то необычное, если у вас есть эта веточка. {nl}если вы это сделаете, Пожалуйста скажите ему об этом тоже.
QUEST_20150323_001646	Пожалуйста, найдите мой коллега в Shaton фермы.
QUEST_20150323_001647	Aren't the dandelions around pretty? {nl}They disservice me, however, by sucking nutrients from the ground. {nl}If this continues, we won't be having a wheat harvest next season. {nl}Please remove the dandelions from the farm. 
QUEST_20150323_001648	Huh?
QUEST_20150323_001649	Huh?
QUEST_20150323_001650	Huh?
QUEST_20150323_001651	Huh? 
QUEST_20150323_001652	We're fighting hard. {nl}My mens' injuries are far more urgent than the farmers, wouldn't you agree? {nl}But some druid provided medicine only to the farmers which they then hid away. {nl}I have no words...
QUEST_20150323_001653	Все просто. Я буду высматривать мои мужчины в первую очередь. {nl}принести мне лекарство, которое они спрятали. Это не должно быть трудно найти. {nl}наверное, в деревянной коробке виноград или универсал, возможно пустой дом... где-то там.
QUEST_20150323_001654	Но будьте осторожны. {nl}если эта чаша наполняется водой, заклинание будет перегара особую силу. {nl}затем монстры привлекают силу, что могут напасть. 
QUEST_20150323_001655	It was successful. {nl}Did you know these seeds are the same type as the mysterious seedlings? {nl}Seems like a wide range of land can be purified if it's grown well enough.
QUEST_20150323_001656	Выращивание этих израсходуете частях обрабатываемой однако. {nl}арендодатель фермы в районе водохранилища, Shaton, {nl}здесь как раз вовремя так что я должна попробовать убедить его, пока могу.
QUEST_20150323_001657	Я встречусь с Вами в районе водохранилища. 
QUEST_20150323_001658	Солдат Майк
QUEST_20150323_001659	Мой родитель скончался Medzio Диена из-за них. {nl}я применил в качестве солдат здесь для моих родителей мести. {nl}но... обидно. Я даже не могу даже взглянуть на них. {nl}пожалуйста, сделай одолжение, убей их для меня!
QUEST_20150323_001660	Они будут выскакивать при приближении куста и больше выйти, если вы встряхните его. {nl}ты частично отвечает за это, поэтому вы должны помочь.
QUEST_20150323_001661	Там была молодая пара, которая здесь работала. Они были очень прилежными. {nl}все здесь не работать, потому что они ненавидели Shaton но они были разные. 
QUEST_20150323_001662	Но, что Shaton оскорбляли и эксплуатировали их. {nl}они оба умерли от переутомления. У меня есть некоторые их сувениры... {nl}я обещал похоронить его рядом с могилой, но я потерял сумку я держал их в в хаосе Medzio Диена. {nl}если вы находите старую сумку, пожалуйста, проверьте, если есть кольцо внутри. 
QUEST_20150323_001663	Хорошо. Это зелье стоило мне целого состояния на Fedimian черном рынке. {nl}он был из стихий, которые, казалось, надежно, в отличие от тех же друидов. {nl}по его словам, это зелье содержит суть алхимии. 
QUEST_20150323_001664	Он сказал, что если вылить это на земле, мощный послушный монстр появится. {nl}я буду использовать его, чтобы уничтожить всех монстров в моей ферме!
QUEST_20150323_001665	Well, I've made some mistakes here and there but who doesn't? {nl}I mean, just look at grapes. How can you use water without wine mixed as drinking water? {nl}Even if the world is ending, you can't just drink plain water. That's barbaric! {nl}Hmm! Anyway, I appreciate the help. I'll listen to your story.
QUEST_20150323_001666	Я просто слушаю! Я не собираюсь делать то, что вы говорите! {nl}я не думаю, что пшеница будет расти здесь, независимо от того, какую магию вы используете. {nl}мне нужно взглянуть на тело моего сына, так что тебе лучше держать его коротким!
QUEST_20150323_001667	The wandering girl the farmers mentioned sounds suspicious. {nl}Elly agrees with me too. {nl}Looking at the facts together with her actions, we can't just dismiss her as an ordinary girl. {nl}Won't people in the Shaton family do anything about it? 
QUEST_20150323_001668	И Medzio Диена пришла несколько лет спустя. {nl}Моя семья едва выбрался живым, и это то, что произошло на ферме. {nl}это еще не все. {nl}было отмечено, что синий катастрофы последуют великие бедствия.
QUEST_20150323_001669	Подумайте об этом, это, возможно, было предупреждение о тех ядовитых винограда. {nl}истинное золото благословение придет после синего катастрофы проходит. Я не знаю, что это значит. {nl}я хотел поговорить с ней больше, но отец выгнал ее, сказав, что она чувствовала что-то зловещее. {nl}, где она могла быть сейчас бродит...
QUEST_20150323_001670	Спасибо. {nl}может быть, мы заслужили немного магистерской доверять. {nl}если так, то это все благодаря тебе. {nl}удачи...
QUEST_20150323_001671	Я слышал, что дела шли хорошо в Shaton фермы. {nl}какое облегчение. Я буду обсуждать с мастером о масштабных очищение и как сделать его успешным.
QUEST_20150323_001672	Спасибо. Это поможет многим людям восстановить.
QUEST_20150323_001673	Это задача избавления от Lauzinutes через подземный туннель. {nl}сын владельца исчезла в подземном тоннеле давно. Это жутко, и я больше никогда не хочу туда идти. 
QUEST_20150323_001674	Хорошо. Мои мужчины должны защищать эту область. {nl}он был замечен в верхней зоне. Я буду отмечать на карте для вас. {nl}вы, возможно, придется пройти через какие-то подземные туннели. 
QUEST_20150323_001675	Подземный Тоннель
QUEST_20150323_001676	((Я не могу пойти в противоположную сторону.))
QUEST_20150323_001677	Is Vietos Gorge a masterpiece of the goddess or a marvel of nature? {nl}The limestone stairway in the southern area is shining with spring water and looks fantastic.
QUEST_20150323_001678	Вы не должны доверять никому здесь. Не богиня и даже не себя.
QUEST_20150323_001679	Кольчугу, богиня не имеет никакого намерения бороться против вас. {nl}прекратить вражду.
QUEST_20150323_001680	Valtrus...
QUEST_20150323_001681	Вернуться туда!
QUEST_20150323_001682	Приготовьтесь к тому, чтобы Вечерняя Звезда ключ. {nl}поторопись, у нас не так много времени. Я буду посылать Богослов скоро.
QUEST_20150323_001683	Я не допущу, чтобы моя душа буду обманывать тебя больше!
QUEST_20150323_001684	Что это... {nl}что ты делаешь с моей душой!??
QUEST_20150323_001685	Srautas Каньон наполнен силами зла и демоны начали атаковать. {nl}стража и паладина последователи защищают против них, но они отчаянно нуждаются в вашей помощи.
QUEST_20150323_001686	Странные вещи творятся в Vejo овраг. {nl}все жители исчезли и монстры заняли свои места.
QUEST_20150323_001687	Монстры вошли в Стелят дорогу и преграждают путь. {nl}всех городах и селах будут изолированы, если мы не избавимся от монстров.
QUEST_20150323_001688	Нам нужна поддержка, чтобы сделать наш путь от Dvaisa Кряжа до врат Великого короля. {nl}помогите пожалуйста.
QUEST_20150323_001689	Игрок Клайпеды
QUEST_20150323_001691	Расследовать шахтерского поселка
QUEST_20150323_001692	Катастрофа Saknis равнины
QUEST_20150323_001693	Вильно Лес: Монстры' Цель
QUEST_20150323_001694	Алтарь Вильно лес
QUEST_20150323_001695	Угроза в лесу Poslinkis
QUEST_20150323_001696	Еды куча голодных демона путь
QUEST_20150323_001697	Для паломников
QUEST_20150323_001698	Истинной природой проклятия
QUEST_20150323_001699	Полигон Работы
QUEST_20150323_001700	Тяжелая Жизнь
QUEST_20150323_001701	Нужно Укрепляющее Средство
QUEST_20150323_001702	Я хочу поесть нормальной еды
QUEST_20150323_001703	Передавая его по
QUEST_20150323_001704	Уборка странная Аура
QUEST_20150323_001705	Пополнение Энергии
QUEST_20150323_001706	Положительных Доказательств
QUEST_20150323_001707	Оружие Поставлять
QUEST_20150323_001708	Продовольственного Резерва
QUEST_20150323_001709	Дезинтеграция
QUEST_20150323_001710	Монстр Пошел Дикий
QUEST_20150323_001711	Подозрительный Кинжал
QUEST_20150323_001712	Монстру наживаться на военных поставках
QUEST_20150323_001713	Луиза сельхозугодий
QUEST_20150323_001714	Неудовлетворительным Культур
QUEST_20150323_001715	Старые Семена
QUEST_20150323_001716	Shaton упрямства
QUEST_20150401_001717	Звезда Статуя
QUEST_20150401_001718	Ничего не происходит...
QUEST_20150401_001719	Подавляя Алтарь
QUEST_20150401_001720	Алтарь уже активирован.
QUEST_20150401_001721	Свеча уже зажжена.
QUEST_20150401_001722	Вам потребуется что-то, чтобы зажечь ее с помощью...
QUEST_20150401_001723	Звездный Камень
QUEST_20150401_001724	Он слабо реагирует на что-то...
QUEST_20150401_001725	Алтарь чего-то не хватает для активации.
QUEST_20150401_001726	Вы чувствуете себя многие энергии, идущие от алтаря.
QUEST_20150401_001727	Зоны Объекта Проверки
QUEST_20150401_001728	Вы чувствуете неведомой силой.
QUEST_20150401_001729	Ничего не произошло...
QUEST_20150401_001730	Монстров ослабить как жуткая тень исчезает.
QUEST_20150401_001731	Звезда Лампа
QUEST_20150401_001732	Похоже, она не может поглотить больше.
QUEST_20150401_001733	Будто тебя засасывает в свет...
QUEST_20150401_001734	Я помню, скрывается какая-то в траве так, что я мог съесть его позже. {nl}пожалуйста, принесите ее мне. 
QUEST_20150401_001735	Оно испорчено. {nl}взять его снова.
QUEST_20150401_001736	О-о, эта вонь. Выбросить сначала, потом возвращайся.
QUEST_20150401_001737	Ugh. How can you eat that? You should bring the fresh one.
QUEST_20150401_001738	Уплотнительная магический круг должен быть улучшен, чтобы подавить странные силы вокруг этой области.
QUEST_20150401_001739	Я должен присоединиться делаешь праведное дело.
QUEST_20150401_001740	Я просто дал ему некоторое время назад...
QUEST_20150401_001741	Он, кажется, кружится голова. Это Лекарство не помогло??
QUEST_20150401_001742	Похоже, голод ушел.
QUEST_20150401_001743	Вы должны быть полны вопросов прямо сейчас. Спрашивай, откровений...
QUEST_20150401_001744	Vakarine борется Valtrus в стенах тюрьмы демонов через портал. {nl}она не сможет удержать его надолго, если кто-то помогает.
QUEST_20150401_001745	Человек под командованием барона были здесь, хотя они не были в состоянии сделать его обратно. {nl}я смотрел все с мастера глаз. {nl}даже крики Vakarine и ее Kupoles.
QUEST_20150401_001746	Это зависит от того, является ли или не вы действительно хочет спасти богиню. {nl}мы можем взять время, чтобы поговорить об этом. 
QUEST_20150401_001747	Я слышал, что демоны, которые пересекли коррупции нарушением собрались в Аушрос часовню. {nl}желаю тебе удачи во имя богини. 
QUEST_20150401_001748	Королевский Мавзолей Сбор На Строительство
QUEST_20150401_001749	Те, кто сохранил честь короля Zachariel и его потомки построили царские могилы здесь. 
QUEST_20150401_001750	[Things about the secret place is written]
QUEST_20150401_001751	[Details of Shout the name of the King!]
QUEST_20150401_001752	[Details of Shout the name of the Goddess Ausrine!]}
QUEST_20150401_001753	[Details of Shout the name of the Goddess Zemyna!]
QUEST_20150401_001754	[Details of Shout the name of the Goddess Vakarine!]
QUEST_20150401_001755	[Details of Shout the name of the Goddess Laima!]
QUEST_20150401_001756	[Details of Shout the name of the Goddess Gabija!]
QUEST_20150401_001757	Те, кто по-настоящему понимать слова будут просвещены. {nl}если ты когда-либо потерял, кричать его имя и вы найдете способ.
QUEST_20150401_001758	Слышишь шепот в твоей голове. 
QUEST_20150401_001759	Неизвестный Кристалл.
QUEST_20150401_001760	Захваченный силой заклинание высвобождается.
QUEST_20150401_001761	Кристально пуст, потому что печать была выпущена.
QUEST_20150401_001762	Запечатывая заклинание.
QUEST_20150401_001763	Мощное заклинание можно подавить, используя фрагмент заклинание подавление Кристалл. 
QUEST_20150401_001764	Demon Lord Naktis
QUEST_20150401_001765	Вы бегали вокруг тяжело в мои земли. {nl}извини, малыш, но мое имя призывает проклятие.
QUEST_20150401_001766	What is this...? {nl}What are you doing with my soul?!
QUEST_20150401_001768	Реконструкция благословения
QUEST_20150406_001769	You think so too, huh? {nl}Please collect some leather. You can get some from the monsters. 
QUEST_20150406_001770	Тогда дайте мне 1000 серебряных монет. Я в ловушке здесь.
QUEST_20150406_001771	Мне очень жаль, но я надеюсь, вы понимаете.
QUEST_20150406_001772	Тогда у меня нет к вам дело
QUEST_20150406_001773	Ты даже хуже, чем мне.
QUEST_20150406_001774	Даже более жалок, чем я. возьми его.
QUEST_20150406_001775	What is it? 
QUEST_20150406_001776	Но ты-новое лицо. {nl}у вас нет ничего, чтобы доказать, что ты Horacius' коллега??
QUEST_20150406_001777	Не удивительно! Вот оно.
QUEST_20150406_001778	Я не могу просто так отдать мой драгоценный сельскохозяйственные инструменты, чтобы кто-то так подозрительно!
QUEST_20150406_001779	Huh? Why should I trust you? 
QUEST_20150406_001780	Ты очень настойчив. Вот.
QUEST_20150406_001781	Это Horacius действительно хорошо??
QUEST_20150406_001782	Я не знаю, кто вы, но я очень занят.
QUEST_20150406_001783	What happens if it fails? 
QUEST_20150406_001784	If it's just that then I'll cooperate. {nl}Will farming tools be enough? 
QUEST_20150406_001785	Конечно, я должен дать им. {nl}это будет успешным.
QUEST_20150406_001786	Разве этого мало??
QUEST_20150406_001787	Ожерелье из Shaton
QUEST_20150406_001788	I found an old, blood stained necklace. Could this be Shaton's son's necklace? 
QUEST_20150406_001789	This machine can process crystal fragments. {nl}Which item would you like to process? 
QUEST_20150406_001790	Памятка
QUEST_20150406_001791	Если вы резонируют кристаллы немного, вы услышите прекрасную мелодию.
QUEST_20150406_001792	Предостережение: этот район является оползневая зона!
QUEST_20150406_001793	Машина загадок
QUEST_20150406_001794	Есть красные, синие, и желтые круги на старом покрытии. 
QUEST_20150406_001795	Это возвращаясь цепи что кромсают мою душу... я собрал мою душу с его.
QUEST_20150406_001796	Вроде по плану должен был блокировать коррупционные нарушения с моей душой. {nl}хорошо, что я знал об этом, пока не стало слишком поздно. 
QUEST_20150406_001797	Did you really think you could fool me that easily? {nl}Send my regards to Vakarine.
QUEST_20150406_001798	- Дай его мне, Богослов. {nl}богиня позаботится об этом.
QUEST_20150406_001800	Потерял Магический Круг
QUEST_20150414_001801	What do you want to know? 
QUEST_20150414_001802	Администратор Ramda
QUEST_20150414_001803	Комиссия может начать после того, как все члены партии собрались. 
QUEST_20150414_001804	Вы не имеете права получать комиссионные еще. 
QUEST_20150414_001805	Star commission? 
QUEST_20150414_001806	Это верно. {nl}алтарь будет двигаться снова.
QUEST_20150414_001807	Коробка Legwyn семьи
