QUEST_LV_0200_20150317_000001	Philipas' Солдата
QUEST_LV_0200_20150401_005831	Пожалуйста, примите это Ночная Звезда спектрального шара.{nl}мы можем найти кольчугу легко с этим.
QUEST_LV_0200_20150401_005832	Я буду толкать кольчугу единственному пути, где он не сможет убежать.{nl}если он попытается сдаться и убежать, я буду блокировать здесь.
QUEST_LV_0200_20150401_005833	Не волнуйтесь слишком много, даже если он убегает.{nl}все идет хорошо, как планировалось.
QUEST_LV_0200_20150401_005834	Успехов!{nl}нет больше побега.
QUEST_LV_0200_20150401_005835	Мы начнем охоту сейчас.{nl}есть только один путь, так что кольчуга бы устоять трудно.{nl}
QUEST_LV_0200_20150401_005836	Пуш кольчугу в Galutin одиночной камере.{nl}не волнуйся так Сигита блокирует кольчугу выход на противоположной стороне.
QUEST_LV_0200_20150401_005837	Хауберк-это как крыса, которая не имеет где спрятаться.{nl}Скажи мне, когда вы готовы к атаке.
QUEST_LV_0200_20150401_005838	Молодцы. Мы будем брать запечатанный кольчугу и сильная власть богини.{nl}Богиня ждет на Окружной 5 в тюрьме. Пожалуйста, поспешите к ней.
QUEST_LV_0200_20150401_005839	У нас есть кольчуга, но проблема заключается в их подчиненными.{nl}мы не знаем, что они будут делать в будущем.{nl}
QUEST_LV_0200_20150401_005840	Хауберк остаток сил собираются снова на Aklaga изоляции области.{nl}я хочу, чтобы вы избавиться от них.
QUEST_LV_0200_20150401_005841	Размерная трещина-это проблема.{nl}там не столько низшего класса демонов, прежде чем.
QUEST_LV_0200_20150401_005842	Спасибо. {nl}я останусь здесь и преследовать оставшихся демонов.
QUEST_LV_0200_20150401_005843	Некоторые кольчугу, слуги сбежали, чтобы Ishidevi убежище. {nl}они наверно надеются на возрождение, как это Nuaele. {nl}
QUEST_LV_0200_20150401_005844	Мы не можем позволить этому случиться снова. {nl}пожалуйста, победить демонов вокруг Ishidevi убежище.
QUEST_LV_0200_20150401_005845	Nuaele оставив в покое только потому, что он оказался в ловушке был источником неприятностей. {nl}мы заплатили большую цену за этот урок.
QUEST_LV_0200_20150401_005846	Хорошая работа. {nl}я буду выследить всех до последнего демона так, что они не могут устоять против богини.
QUEST_LV_0200_20150401_005847	Богини могут не согласиться, но мы должны показать им урок. {nl}Можете ли вы победить демонов в Hradeti Перекресток и получить в свои зубы??
QUEST_LV_0200_20150401_005848	Демоны должны выучить свои уроки. {nl}это довольно щадящий по сравнению с тем что они сделали.
QUEST_LV_0200_20150401_005849	Спасибо. {nl}пожалуйста, держите это в тайне от богини.
QUEST_LV_0200_20150401_005850	Именно с вашей помощью мы сделали это, пока здесь. {nl}тюрьмах больше не будет под угрозой из-за демонов больше. {nl}
QUEST_LV_0200_20150401_005851	Мы проводим ритуал для закрытия щели, поэтому лучше быть готовым.
QUEST_LV_0200_20150401_005852	Волнах мерного трещины стали сильнее, чем когда-либо. {nl}мы больше не можем заполнить его с hauberk душу в покое. {nl}
QUEST_LV_0200_20150401_005853	На душе " кошки заскребли держать обременяя вас. {nl}но это что-то только вы можете помочь.
QUEST_LV_0200_20150401_005854	Мы добавим мощи демонов, явившихся в запечатанной душой Houvberg. {nl}я дам тебе Вечерняя Звезда Руна, но она не в полном виде.
QUEST_LV_0200_20150401_005855	Пожалуйста, победить демонов в Аушры часовню и собирать следы кроссовер. {nl}это будет важным инструментом для сбора силе демонов.
QUEST_LV_0200_20150401_005856	Кое-что я поняла после встречи с вами. {nl}, что я должна была принять Лайма предупреждение в первую очередь.
QUEST_LV_0200_20150401_005857	Вы собрали достаточно заполнить Вечерняя Звезда Руна. {nl}Вы можете использовать это, чтобы привлечь души демонов.
QUEST_LV_0200_20150401_005858	Вот. Возьмите вечернюю Звезду Руна.
QUEST_LV_0200_20150401_005859	Использовать Вечерняя Звезда Руна на демонов в изоляции Ренкина район и парализовать их. {nl}демоны будут тянул меня силой в руны.
QUEST_LV_0200_20150401_005860	Отсюда, я буду совмещать эти демоны с душой кольчугу.
QUEST_LV_0200_20150401_005861	Богиня и демон может легко мешать друг другу души. {nl}только Богослов, как вы можете сделать так.
QUEST_LV_0200_20150401_005862	Хорошая работа, Богослов. {nl}демонов ты прислал, сочетаясь с души кольчугу.
QUEST_LV_0200_20150401_005863	Мы все еще нужно больше демонов души. {nl}пожалуйста, воспользуйтесь Вечерняя Звезда Руна на демонов в Ishsula руины Площадь тоже.
QUEST_LV_0200_20150401_005864	Тогда Kupoles отправится собирать их..
QUEST_LV_0200_20150401_005865	Размерная трещина связана с демоном в мире, поэтому она не может быть удалена без силы демонов. {nl}вот почему ваша роль, не богиня', ни демоны', это важно.
QUEST_LV_0200_20150401_005866	Сейчас она почти полная. {nl}но я не чувствую больше демонов собирать.
QUEST_LV_0200_20150401_005867	У нас нет выбора, кроме как прибегнуть к последней мере. {nl}получить клеймо уплотнение запирались на мощные демоны. {nl}
QUEST_LV_0200_20150401_005868	Клеймо уплотнение поглощает энергию своего хозяина. {nl}Вы можете получить его, используя Вечерняя Звезда Руна на демонов в Etmesta изоляции района.
QUEST_LV_0200_20150401_005869	Мы не могли следить за каждым демоном на его стороне. {nl}так как мы использовали знак уплотнение для предотвращения их полномочий манифеста.
QUEST_LV_0200_20150401_005870	Хорошая работа. {nl}эти знаки могут укрепить душу кольчугу.
QUEST_LV_0200_20150401_005871	Мы собрали достаточно власти, чтобы закрыть разрыв. {nl}пожалуйста, посмотрите хотя меня и Kupoles закрыть разрыв.
QUEST_LV_0200_20150401_005872	Бедствия, взял ее корень в тюрьме сейчас прошла. {nl}все кредиты принадлежат вам, Богослов. {nl}
QUEST_LV_0200_20150401_005873	Я планирую останавливаться здесь в течение некоторого времени. {nl}если вам нужна сила богини, вы можете прийти в любое время за помощью.
QUEST_LV_0200_20150401_005874	Причем разрыв закрыт, демоны, что сбилась с пути формируют группы самостоятельно. {nl}но я больше не в силах двигаться в настоящее время. {nl}
QUEST_LV_0200_20150401_005875	Демоны никогда не должны оставаться в группах, а не на будущее. {nl}пожалуйста сломить силу демонов, которые собрались в Ванага зоне наблюдения.
QUEST_LV_0200_20150401_005876	Демоны используют ауру катастрофы усилить свои полномочия. {nl}, возможно, мы заблокировали немедленной катастрофы, но мир все еще кажется далеко.
QUEST_LV_0200_20150401_005877	Если я не обращаю внимания просто на некоторое время, разрыв будет открыть снова. {nl}я надеюсь, что вы найдете Лайма, как только вы можете.
QUEST_LV_0200_20150401_005878	Мы смогли найти Дионисия с вашей помощью, но он медленного восстановления причиняет ему слишком много боли. {nl}вы можете получить пустые души от демонов в Pasaga изоляции зоны??
QUEST_LV_0200_20150401_005879	Если Дионисия восстанавливает, в тюрьме может быть стабилизирована даже если меня здесь не будет.
QUEST_LV_0200_20150401_005880	Спасибо. {nl}если Дионисия восстанавливает, это все будет благодаря вам. {nl}{nl}
QUEST_LV_0200_20150401_005881	Малые зазоры формируются в местах, где моя сила не достигла. {nl}даже Kupoles сосредоточены в стабилизации процесса так нет никого, чтобы закрыть разрыв в Gavara изоляции области. {nl}
QUEST_LV_0200_20150401_005882	Можете ли вы взять на себя роль для нас??
QUEST_LV_0200_20150401_005883	Я приношу долг Zydrone и Алдона, и даже вы.
QUEST_LV_0200_20150401_005884	Спасибо, Богослов. {nl}если все полномочия будут восстановлены, я приму все возможные меры, чтобы перекрыть пробелы из формируя.
QUEST_LV_0200_20150401_005885	Дело сделано. {nl}я надеюсь, что это работает.. может вам дать это мясо Пилигрим внизу?? {nl}{nl}You must feed him until he's satisfied. {nl}It's all the meat that you got. 15 pieces, right?
QUEST_LV_0200_20150401_005886	Я все еще выгляжу как камень в свой мешок.. {nl}вы думаете, это кольчуга упадет просто так!
QUEST_LV_0200_20150401_005887	Вы были вместе с самого начала.. {nl}я был глуп.{nl}но как вы думаете, вы можете взять на себя мои полномочия сейчас!
QUEST_LV_0200_20150401_005888	О том, почему носители откровений лечатся хорошо
QUEST_LV_0200_20150401_005889	Я могу делать это сколько угодно
QUEST_LV_0200_20150401_005890	Отклонить грязных работ
QUEST_LV_0200_20150401_005891	О нехватке трудовых ресурсов
QUEST_LV_0200_20150401_005892	Мне его привезут
QUEST_LV_0200_20150401_005893	Это страшно так оставлять место
QUEST_LV_0200_20150401_005894	О том, почему он был в мешке
QUEST_LV_0200_20150401_005895	У меня есть несколько вопросов задать
QUEST_LV_0200_20150401_005896	Об отношениях охранников и фермеров
QUEST_LV_0200_20150401_005897	Проснувшись/КИКБОКС/0.5/TRACK_BEFORE/никто
QUEST_LV_0200_20150401_005898	Это много, я могу помочь
QUEST_LV_0200_20150401_005899	Я занят так что я пас
QUEST_LV_0200_20150401_005900	Проверяя магический круг/LOOK_SIT/1/TRACK_BEFORE/никто
QUEST_LV_0200_20150401_005901	Notice/!/Destroy the jewel to strengthen the magic circle #10
QUEST_LV_0200_20150401_005902	Notice/!/Collect the evil force of monsters in the empty bottle that Rimas gave you then bury it beside the magic circle!#5
QUEST_LV_0200_20150401_005903	О силе заклинаний устройства и культур
QUEST_LV_0200_20150401_005904	Проверка склада/смотри/1/TRACK_BEFORE/никто
QUEST_LV_0200_20150401_005905	Проверяя магический круг/LOOK_SIT/1/TRACK_BEFORE/никто
QUEST_LV_0200_20150401_005906	Распыляя яд/STANDSPINKLE/1/TRACK_BEFORE/никто
QUEST_LV_0200_20150401_005907	Проверить магический круг/LOOK_SIT/1/TRACK_BEFORE/никто
QUEST_LV_0200_20150401_005908	Notice/!/Bring the monsters near the magic circle and kill it!#5
QUEST_LV_0200_20150401_005909	Notice/!/Defeat the monsters then Уничтожить окно!#5
QUEST_LV_0200_20150401_005910	Notice/!/Make a wooden hammer to open the liquor barrel!#5
QUEST_LV_0200_20150401_005911	Я могу чем-нибудь помочь??
QUEST_LV_0200_20150401_005912	У меня есть длинный путь впереди так я пойду сейчас
QUEST_LV_0200_20150401_005913	О том, что вы делаете здесь
QUEST_LV_0200_20150401_005914	О вещах, которые вы готовите для
QUEST_LV_0200_20150401_005915	Освещение противопожарной/противопожарной/1/TRACK_BEFORE/никто
QUEST_LV_0200_20150401_005916	Positive Evidence (3)
QUEST_LV_0200_20150401_005917	Размещение богине статую на магический круг/SITGROPE_LOOP/2/TRACK_BEFORE/никто
QUEST_LV_0200_20150401_005918	Notice/Go the the field and Проверьте культур!#5
QUEST_LV_0200_20150401_005919	О роли лидера
QUEST_LV_0200_20150401_005920	Я получу кожа
QUEST_LV_0200_20150401_005921	Я получу сотрудничество арендатор заехал фермеров
QUEST_LV_0200_20150401_005922	Я пойду сейчас
QUEST_LV_0200_20150401_005923	Есть много случаев, подобных этому??
QUEST_LV_0200_20150401_005924	Я буду от нее избавляться
QUEST_LV_0200_20150401_005925	Мне страшно. Я не хочу
QUEST_LV_0200_20150401_005926	Пиная забор/КИКБОКС/1/TRACK_BEFORE/никто
QUEST_LV_0200_20150401_005927	Подготовка завершена
QUEST_LV_0200_20150401_005928	Слушайте историю
QUEST_LV_0200_20150401_005929	Сделано достаточно
QUEST_LV_0200_20150401_005930	Я не стану иметь дело с демонами
QUEST_LV_0200_20150401_005931	Я сделаю все, что
QUEST_LV_0200_20150401_005932	О Демон тюрьмы
QUEST_LV_0200_20150401_005933	О Демон Господа Блуте
QUEST_LV_0200_20150401_005934	Об Kupoles
QUEST_LV_0200_20150401_005935	Все подготовленные
QUEST_LV_0200_20150401_005936	Уведомление/зайти в стенах тюрьмы демонов 2-я зона и удовлетворения Kupole Медейна!
QUEST_LV_0200_20150401_005937	Скажи мне, как я могу помочь
QUEST_LV_0200_20150401_005938	Об барьер богини
QUEST_LV_0200_20150401_005939	Это звучит опасно
QUEST_LV_0200_20150401_005940	О Демон Господа Nuaele
QUEST_LV_0200_20150401_005941	Я помогу допрос
QUEST_LV_0200_20150401_005942	Все будет хорошо
QUEST_LV_0200_20150401_005943	Про кольчугу и Nuaele отношения
QUEST_LV_0200_20150401_005944	Мне снимут небольшой зазор
QUEST_LV_0200_20150401_005945	О мощной силе
QUEST_LV_0200_20150401_005946	Я прослежу, чтобы защитить его
QUEST_LV_0200_20150401_005947	Я не думаю, что смогу с этим справиться
QUEST_LV_0200_20150401_005948	Это не звучит как хорошая идея
QUEST_LV_0200_20150401_005949	Я не уверен, если я могу снять все эти демоны
QUEST_LV_0200_20150401_005950	Давайте начнем ритуал
QUEST_LV_0200_20150401_005951	Я буду собирать следы переноса
QUEST_LV_0200_20150401_005952	Я буду собирать клеймо уплотнения
QUEST_LV_0200_20150401_005953	Я одолею этих демонов
QUEST_LV_0200_20150401_005954	Буду искать сувениры
QUEST_LV_0200_20150401_005955	Я верну ожерелье
QUEST_LV_0200_20150401_005956	Я буду победить неистовых демонов
QUEST_LV_0200_20150401_005957	Я буду извлекать когти
QUEST_LV_0200_20150401_005958	Об Дионисия
QUEST_LV_0200_20150401_005959	Я буду собирать марки Звезда
QUEST_LV_0200_20150401_005960	Мне не надо для этого
QUEST_LV_0200_20150401_005961	Я может быть не ругал богиня
QUEST_LV_0200_20150401_005962	Все будет хорошо
QUEST_LV_0200_20150401_005963	Он выздоровит скоро
QUEST_LV_0200_20150401_005964	Мне нужно немного больше времени
QUEST_LV_0200_20150401_005965	Идите к сержанту Тадас
QUEST_LV_0200_20150401_005966	Сержант Тадас говорит, нет достаточно веревки, чтобы связать мешки с зерном. {nl}охотиться на монстров и собирать жесткая веревка.
QUEST_LV_0200_20150401_005967	Отдайте его сержанту Тадас
QUEST_LV_0200_20150401_005968	Насобирали веревку. Отдайте его сержанту Тадас.
QUEST_LV_0200_20150401_005969	Получить %s из монстров поблизости
QUEST_LV_0200_20150401_005970	Поговорите с сержант Тадас
QUEST_LV_0200_20150401_005971	Сержант Тэд все еще имеет некоторые поблажки влево, чтобы задать вам. Поговорите с ним еще раз.
QUEST_LV_0200_20150401_005972	Убирать мешки с мусором на дороге Tvora
QUEST_LV_0200_20150401_005973	Сержант Тэд говорит, что есть место, где мешки с мусором собраны и просил тебя заботиться о нем. Идите туда и нажмите на мусор вниз с обрыва.
QUEST_LV_0200_20150401_005974	Проверить подозрительный мешок
QUEST_LV_0200_20150401_005975	Поговорите с человеком внутри мешок
QUEST_LV_0200_20150401_005976	Мужчина вышел из мешка! Поговорите с ним, чтобы выяснить, что происходит.
QUEST_LV_0200_20150401_005977	Проверить пастбища
QUEST_LV_0200_20150401_005978	Возвращение сержанта Тадас
QUEST_LV_0200_20150401_005979	Поговорите с солдатом Stepas
QUEST_LV_0200_20150401_005980	Получить Скорпион яд из почвы пахотных
QUEST_LV_0200_20150401_005981	Вам нужно извлечь яд, чтобы сделать питательный тоник. Победить спящего Скорпиона и извлечь ее яд.
QUEST_LV_0200_20150401_005982	Дай солдату Stepas
QUEST_LV_0200_20150401_005983	Собрав достаточное количество яда Скорпиона. Дать яд, чтобы солдат Stepas.
QUEST_LV_0200_20150401_005984	Собирать Сладкую Траву
QUEST_LV_0200_20150401_005985	Солдат Stepas попросил принести сладкую траву так, что это будет проще для Далюс пить питательным тоником.
QUEST_LV_0200_20150401_005986	Предоставляю тоник для Далюс на Shlake след
QUEST_LV_0200_20150401_005987	Дай тоник для Далюс
QUEST_LV_0200_20150401_005988	Солдат Stepas попросил вас положить сладкую траву в питательный тоник и доставить его Далюс.
QUEST_LV_0200_20150401_005989	Далюс себя странно выпив питательный тоник. Вы лучше сообщите солдата Stepas.
QUEST_LV_0200_20150401_005990	Дать нетронутый хлеб Далюс
QUEST_LV_0200_20150401_005991	Мариус попросил Вас дать хлеб своему брату, Далюс. Если хлеб портится по дороге, выбросить и получить хлеб снова от Мариуса.
QUEST_LV_0200_20150401_005992	Доставить его Далюс
QUEST_LV_0200_20150401_005993	Прибыл в Далюс с хлебом по-прежнему хорошо. Дать хлеб Далюс.
QUEST_LV_0200_20150401_005994	Доставили хлеб. Поговорите Далюс снова.
QUEST_LV_0200_20150401_005995	Далюс говорит, что есть странно дыма поблизости, который, кажется, вызывает у питание портить. Удалить, что дым на обратном пути Мариуса.
QUEST_LV_0200_20150401_005996	Убрал раздражающие вещи. Мариус рассказать об этом.
QUEST_LV_0200_20150401_005997	Получить семена обратно в Tvora дороги
QUEST_LV_0200_20150401_005998	Монстры украли семена. Получить семя обратно мешки с монстров вокруг барона Allerno территории.
QUEST_LV_0200_20150401_005999	Дают семенной мешок для Мариуса.
QUEST_LV_0200_20150401_006000	Получить %s из монстров поблизости
QUEST_LV_0200_20150401_006001	Для того, чтобы укрепить магический круг, Вам необходимо принести монстров недалеко от магического круга и победить его.
QUEST_LV_0200_20150401_006002	Открываем коробку
QUEST_LV_0200_20150401_006003	Странно видеть коробку в этой области. Пойти и открыть его.
QUEST_LV_0200_20150401_006004	Уничтожить окно
QUEST_LV_0200_20150401_006005	Монстры появились вмешиваться, когда вы пытались открыть коробку! Избежать атак монстров и откройте окно в лимит времени!
QUEST_LV_0200_20150401_006006	Небольшой кусок, что похоже с вершины статуи в разрушенном груди. Взять его кому-то, чтобы выяснить, что это такое.
QUEST_LV_0200_20150401_006007	Destroy the box
QUEST_LV_0200_20150401_006008	Йоана хочет проверить, что в силу вытекающей из определенной области. Уменьшить монстров' НР ниже 50% то попробовать, чтобы увидеть, как он реагирует на странные силы ниже магический круг.
QUEST_LV_0200_20150401_006009	Принести богине статую
QUEST_LV_0200_20150401_006010	Джонас хочет, чтобы сила богини. Похоже, Йоана есть ответ к силе богини. Идите и знакомьтесь Йоана.
QUEST_LV_0200_20150401_006011	Поместите статую богини в магический круг
QUEST_LV_0200_20150401_006012	Поместите статую богини, которую вы получили от Джоана на магический круг.
QUEST_LV_0200_20150401_006013	Check the crops
QUEST_LV_0200_20150401_006014	Как магический круг и статуя богини исчезло, когда вы разместили статую на магический круг. Проверим, что случилось культур, которые Jonaris беспокоился о Jonaris и сказать об этом.
QUEST_LV_0200_20150401_006015	Скажите Jonaris, что магический круг и разбил статуи и whent он магический круг исчез, посевы превратились в норму.
QUEST_LV_0200_20150401_006016	Найти кожаный
QUEST_LV_0200_20150401_006017	Соберите кожа Horacius для нужд восстания. Вы можете получить это от mosnters.
QUEST_LV_0200_20150401_006018	Предоставляю кожа Horacius.
QUEST_LV_0200_20150401_006019	Вытащить и принести Niolle
QUEST_LV_0200_20150401_006020	Таурас в настоящее время находится в ведении которого находились продовольственные запасы для восстания. Вытащить и взять Niolles, чтобы помочь ему. Будьте осторожны, так как Niolles надо быть compelte с корнями для того, чтобы его можно было использовать в качестве пищи.
QUEST_LV_0200_20150401_006021	Насобирали Niolle. Привести его к Таурас.
QUEST_LV_0200_20150401_006022	Разговор, если вы можете помочь с чем-либо еще.
QUEST_LV_0200_20150401_006023	Уничтожение печати магический круг
QUEST_LV_0200_20150401_006024	Уплотнение магический круг был найден в залежные земли. Но если коснуться уплотнение магический круг, она наносит удар. Используйте камень, что Альбина дает вам бросить его, чтобы разорвать магический круг.
QUEST_LV_0200_20150401_006025	Похоже, Horacius есть что сказать. Поговорите с ним.
QUEST_LV_0200_20150401_006026	Слушать Horacius' история.
QUEST_LV_0200_20150401_006027	Мы решили стороны с hauberk, пока мы найти и спасти богиню Vakarine. Теперь принести кольчугу и начальник 1-го района Демон тюрьмы!
QUEST_LV_0200_20150401_006028	Победить демонов выполняя ритуал
QUEST_LV_0200_20150401_006029	Kupole одра попросил вас победить демонов ритуалы для выхода в Блуте Rituala сборочном цехе.
QUEST_LV_0200_20150401_006030	Interefered с ритуалом. Вернуться и доложить Kupole одра в стенах тюрьмы демонов тюрьму область.
QUEST_LV_0200_20150401_006031	Получить секрецию Блуте
QUEST_LV_0200_20150401_006032	Kupole одра говорит, что мы должны ослабить влияние Блуте. Украсть Блуте, это выделения из демонов в Viejauler программе basecamp.
QUEST_LV_0200_20150401_006033	Отдайте их Kupole одра
QUEST_LV_0200_20150401_006034	Украли все выделениях из демонов. Дай Kupole одра в стенах тюрьмы демонов тюрьму область.
QUEST_LV_0200_20150401_006035	Еще много работы остается сделать для того, чтобы лицо Блуте. Поговорите Kupole одра.
QUEST_LV_0200_20150401_006036	Help Hauberk absorb Blut's Пауэрс
QUEST_LV_0200_20150401_006037	Kupole одра говорит власть, собранная Блуте может управляться только кольчуга. Помогите кольчугу поглощать силу Блуте от Блуте алтарь в концентрированном область управления.
QUEST_LV_0200_20150401_006038	Хауберк успешно всасывается Блуте полномочия. Иди и помоги Kupole Zydrone в Nuzikalti зал.
QUEST_LV_0200_20150401_006039	Наказание повелителя демонов Блуте
QUEST_LV_0200_20150401_006040	Здесь вы поражения демона Лорда Блуте. Помогите Kupole Zydrone и поражение Блуте.
QUEST_LV_0200_20150401_006041	Победил повелителя демонов Блуте. Поговорите Kupole Zydrone.
QUEST_LV_0200_20150401_006042	Поговорите Kupole Медейна
QUEST_LV_0200_20150401_006043	Kupole Медейна в Shirtis наблюдения проходу выглядит очень seious. Поговорите Медейна.
QUEST_LV_0200_20150401_006044	Победить демона слуги Nuaele
QUEST_LV_0200_20150401_006045	Kupole Медейна сказал шлагбаум богини должны быть стабилизированы путем тушения Nuaele питания. Победить демонов Nuaele.
QUEST_LV_0200_20150401_006046	Поражение Nuaele демонами. Вернуться и доложить Медейна.
QUEST_LV_0200_20150401_006047	Похоже, Kupole Медейна есть хорошая идея. Поговорите Медейна.
QUEST_LV_0200_20150401_006048	Некоторые из Nuaele демонов раньше Хауберк-это демоны, которые получили полномочия от гривы до Хауберк. Поражение Nuaele демонами в 2-й изоляции района и получить гривы кольчугу.
QUEST_LV_0200_20150401_006049	Retriefe кольчугу в гривы. Дай Медейна.
QUEST_LV_0200_20150401_006050	Похоже, Медейна-то, что ее ошибки. Поговорите Kupole Медейна.
QUEST_LV_0200_20150401_006051	Допрос Nuaele план
QUEST_LV_0200_20150401_006052	Использовать Медейна учение кристалл на монстров в 3-й изоляции района и выяснить Nuaele планы.
QUEST_LV_0200_20150401_006053	Узнал Nuaele планы. Скажите Медейна об этом.
QUEST_LV_0200_20150401_006054	Разобрался Nuaele планы. Задать Медейна, что делать дальше.
QUEST_LV_0200_20150401_006055	Поражение Nuaele демонов
QUEST_LV_0200_20150401_006056	Kupole Медейна предложил победить сильнейший и самый верный слуга Nuaele. Поражение монстров Nuaele в 4-й изолятор.
QUEST_LV_0200_20150401_006057	Поражение Nuaele демонами. Поговорите Kupole Медейна.
QUEST_LV_0200_20150401_006058	Готов победить Nuaele. Поговорите Kupole Медейна.
QUEST_LV_0200_20150401_006059	Поражения Демона Лорда Nuaele
QUEST_LV_0200_20150401_006060	Встретить Kupole Алдона и голову Nuaele территории, чтобы победить Nuaele.
QUEST_LV_0200_20150401_006061	Поражение Nuaele. Поговорите Kupole Медейна.
QUEST_LV_0200_20150401_006062	Vakarine говорит, что вам нужно, чтобы завершить вечер звезды ключ, чтобы избавиться от контроля мощности Дионисия. Идите Kupole Zydrone для завершения ключа.
QUEST_LV_0200_20150401_006063	Снять Небольшой Габаритный Русификатор
QUEST_LV_0200_20150401_006064	Kupole Zydrone просила убрать небольшой габаритный трещины, что препятствует зарядка Вечерняя Звезда ключ.
QUEST_LV_0200_20150401_006065	Удалена вся размерная трещин. Скажите Kupole Zydrone об этом.
QUEST_LV_0200_20150401_006066	Готов зарядить Вечерняя Звезда ключ. Поговорите Kupole Zydrone.
QUEST_LV_0200_20150401_006067	Защитить Kupole Zydrone
QUEST_LV_0200_20150401_006068	Kupole Zydrone просил тебя защищать его, пока он не влияет на силу богини вечерней звезды ключ.
QUEST_LV_0200_20150401_006069	Охраняемых Kupole Zydrone хорошо, пока Вечерняя Звезда ключ был заряжен. Поговорите Zydrone.
QUEST_LV_0200_20150401_006070	Kupole Zydrone попросил тебя доставить Вечерняя Звезда ключ к Kupole Алдона, кто держит вниз Дионисия.
QUEST_LV_0200_20150401_006071	Релиз печатей
QUEST_LV_0200_20150401_006072	Использовать Вечерняя Звезда ключ, чтобы освободить печать Rearda, Касах, и рады, чтобы высвободить энергию богини.
QUEST_LV_0200_20150401_006073	Освобождены все пломбы и освободил силу богини. Вернуться к Kupole Алдона и поговорить с ней.
QUEST_LV_0200_20150401_006074	Готов снять сильную мощность от Дионисия. Поговорите Kupole Алдона.
QUEST_LV_0200_20150401_006075	Подчинить Дионисия для Kupole Алдона удалить власть от Дионисия.
QUEST_LV_0200_20150401_006076	Кольчугу забрал сильная сила запечатана в Дионисия и убежал. Поговорите Алдона.
QUEST_LV_0200_20150401_006077	Кольчугу забрал сильная сила запечатана в Дионисия и убежал. Задать Алдона, что делать.
QUEST_LV_0200_20150401_006078	Скажи Богиня Vakarine, что кольчуга пришла к власти Дионисия и спросите, что вы должны делать.
QUEST_LV_0200_20150401_006079	Вам надо найти кольчугу, который сбежал с цепи Реверсии. Идите Kupole Дайва в районе 4 демонической тюрьме.
QUEST_LV_0200_20150401_006080	Pursue Demon Lord Hauberk
QUEST_LV_0200_20150401_006081	Дайва говорит, что кольчуга должна быть после ослабленный барьер богини. Поражение кольчугу, кто разрушает барьер богини в Nebilau рухнула области.
QUEST_LV_0200_20150401_006082	Ты потерял кольчугу. Поговорите Kupole Дайва.
QUEST_LV_0200_20150401_006083	Ты потерял кольчугу. Поговорите Kupole Дайва.
QUEST_LV_0200_20150401_006084	Отдайте их Kupole Дайва
QUEST_LV_0200_20150401_006085	Собраны все Хауберк душу осколков. Поговорите Kupole Дайва в Idinga одиночной камере.
QUEST_LV_0200_20150401_006086	Kupole Дайва, похоже, нашли кольчугу, где может скрываться. Поговорите Kupole Дайва в Idinga одиночной камере.
QUEST_LV_0200_20150401_006087	Используйте Ночная Звезда спектрального шар в Idinga одиночке, чтобы найти демонов, содержащая кольчугу и победить их.
QUEST_LV_0200_20150401_006088	Кольчугу отдал во владение и убежал как душа. Поговорите Kupole Дайва в Idinga одиночной камере.
QUEST_LV_0200_20150401_006089	Дайва говорит, что все идет по плану. Задать Дайва что вы должны делать дальше.
QUEST_LV_0200_20150401_006090	Kupole Сигита заехал в кольчугу Galutin одиночной камере. Поговорите Сигита.
QUEST_LV_0200_20150401_006091	Suppress Demon Lord Hauberk
QUEST_LV_0200_20150401_006092	Здесь вы закрыть размерные трещина. Поговорите с Богиня Vakarine в стенах тюрьмы демонов округу № 5.
QUEST_LV_0200_20150401_006093	Выполнить ритуал, чтобы закрыть размерные трещина
QUEST_LV_0200_20150401_006094	Помогите Богиня Vakarine в ней ритуал, чтобы закрыть размерные трещина
QUEST_LV_0200_20150401_006095	Богиня Vakarine власть в одиночку не могу показаться, чтобы закрыть разрыв. Поговорите Goddese Vakarine.
QUEST_LV_0200_20150401_006096	Ритуал, чтобы закрыть размерные трещина не очень вяжутся. Поговорите с Богиня Vakarine.
QUEST_LV_0200_20150401_006097	Богиня Vakarine велел тебе собрать следы переноса для заполнения Вечерняя Звезда Руна. Победить демонов в Ausura часовня и собирать следы.
QUEST_LV_0200_20150401_006098	Собрали все следы переноса необходимо. Дай им Богиня Vakarine.
QUEST_LV_0200_20150401_006099	Вечерняя Звезда Руна готова. Поговорите с Богиня Vakarine.
QUEST_LV_0200_20150401_006100	Использовать Вечерняя Звезда Руна на демонов.
QUEST_LV_0200_20150401_006101	Использовать Вечерняя Звезда Руна на демонов собрались на Lankine разделение района и подавлять их. Демоны пойдут Богиня Vakarine себя при этом.
QUEST_LV_0200_20150401_006102	Вечерняя Звезда Руна сделала много демонов послушным. Поговорите с Богиня Vakarine снова.
QUEST_LV_0200_20150401_006103	Больше демоном души по-прежнему нужны. Поговорите с Богиня Vakarine.
QUEST_LV_0200_20150401_006104	Подавлять демонов, используя Вечерняя Звезда Руна
QUEST_LV_0200_20150401_006105	Использовать Вечерняя Звезда Руна для подавления демонов собрались в Ishisula сломанный района. В Kupoles будет заботиться о тех бесов потом.
QUEST_LV_0200_20150401_006106	В Kupoles плен многих демонов. Возвращение богини Vakarine.
QUEST_LV_0200_20150401_006107	Там должно быть больше способов собирать души демонов. Поговорите с Богиня Vakarine.
